student,hi i am a student from this faculty
student,student
student,yes I am a student who studying in this faculty
student,yes i am artificial intelligence department student
student,i am a student
student,UM student
student,university malaya student
student,a student
student,is a student
student,yes i am a student
student,yes i am UM student
student,i am UM student
student,yes i am university malaya student
student,i am university malaya student
student,artificial intelligence department student
student,artificial intelligence student
student,AI department student
student,AI student
student,yes i am artificial intelligence student
student,software engeneering department student
student,software engeneering student
student,SE department student 
student,SE student
student,yes i am software engineering department student
student,yes i am software engineering student
student,yes i am SE department student
student,yes i am SE student
student,multimedia department student
student,multimedia student
student,MM department student
student,MM student
student,yes i am multimedia department student
student,yes i am multimedia student
student,yes i am MM department student
student,yes i am MM student
student,information system department student
student,information system student
student,IS department student
student,IS student
student,yes i am information system department student
student,yes i am information system student
student,yes i am IS department student
student,yes i am IS student
student,computer system and network department student
student,computer system and network student
student,CSN department student
student,CSN student
student,yes i am computer system and network department student
student,yes i am computer system and network student
student,yes i am CSN department student
student,yes i am CSN student
student,data science department student
student,data science student
student,DS department student 
student,DS student
student,yes i am data science department student
student,yes i am data science student
student,yes i am DS department student
student,yes i am DS student
student,I am studying in this faculty
student,I am studying in this university
student,I study in this faculty
student,I am currently enrolled as a student at this university.
student,I am pursuing my education as a student at this institution.
student,I am a full-time student at this university.
student,I am studying at the undergraduate level at this university.
student,"I am a learner, currently attending classes at this university."
student,"I am a pupil, working towards a degree at this university."
student,"I am a scholar, engaged in formal education at this university."
student,I am a student of history at this university.
student,I am a student of mathematics at this university.
student,I am a student of literature at this university.
student,I am a student of science at this university.
student,I am a student of engineering at this university.
student,I am a student of medicine at this university.
student,I am a student of law at this university.
student,I am a student of business at this university.
student,I am a student of economics at this university.
student,I am a student of psychology at this university.
student,I am a student of sociology at this university.
student,I am a student of political science at this university.
student,I am a student of philosophy at this university.
student,I am a student of theology at this university.
student,I am a student of art at this university.
student,I am a student of music at this university.
student,I am a student of dance at this university.
student,I am a student of theater at this university.
student,I am a student of film at this university.
student,I am a student of photography at this university.
student,I am a student of communication at this university.
student,I am a student of computer science at this university.
student,I am a student of information technology at this university.
student,I am a student of environmental science at this university.
student,I am a student of linguistics at this university.
student,I am a student of anthropology at this university.
student,I am a student of archaeology at this university.
student,I am a student of biology at this university.
student,I am a student of chemistry at this university.
student,I am a student of physics at this university.
student,I am a student of geology at this university.
student,I am a student of geography at this university.
student,I am a student of education at this university.
student,I am a student of nursing at this university.
student,I am a student of design at this university.
student,I am a student of fashion at this university.
student,I am a student of architecture at this university.
student,I am a student of urban planning at this university.
student,I am a student of culinary arts at this university.
student,I am a student of hospitality management at this university.
student,I am a student of tourism management at this university.
student,I am a student of sports management at this university.
student,I am a student of exercise science at this university.
student,hi yes I am a student
student,I am pursuing my undergraduate degree as a student here.
student,I am a graduate student at this university.
student,I am a student in the computer science department.
student,"I am a student, currently in my second year."
student,"I am a student at this university, majoring in biology."
student,"I am a student, working towards my masters degree."
student,"I am currently a student at this university, studying business."
student,"I am a student, taking classes in the engineering department."
student,"I am a student, enrolled in the physics program."
student,I am a student majoring in economics.
student,"I am currently a student at this university, studying psychology."
student,"I am a student, working on my PhD in mathematics."
student,I am a student in the nursing program.
student,"I am a student, studying education at this university."
student,"I am a student, currently in my senior year."
student,I am a student majoring in history.
student,"I am a student, enrolled in the literature program."
student,"I am a student, currently taking classes in the sociology department."
student,"I am a student, majoring in philosophy."
student,"I am a student at this university, studying political science."
student,"I am a student, enrolled in the computer engineering program."
student,"I am currently a student at this university, studying chemistry."
student,"I am a student, majoring in music."
student,"I am a student, enrolled in the art history program."
student,"I am a student, currently taking classes in the theatre department."
student,I am a student majoring in environmental science.
student,"I am a student, studying anthropology at this university."
student,"I am a student, currently in my junior year."
student,I am a student majoring in communications.
student,"I am a student, enrolled in the marketing program."
student,"I am a student, currently taking classes in the advertising department."
student,"I am a student, majoring in international studies."
student,"I am a student at this university, studying gender studies."
student,"I am a student, enrolled in the journalism program."
student,"I am currently a student at this university, studying criminology."
student,"I am a student, majoring in urban planning."
student,"I am a student, enrolled in the geography program."
student,"I am a student, currently taking classes in the architecture department."
student,I am a student majoring in linguistics.
student,"I am a student, studying archaeology at this university."
student,"I am a student, currently in my sophomore year."
student,I am a student majoring in anthropology.
student,"I am a student, enrolled in the physics program."
student,"I am a student, currently taking classes in the philosophy department."
student,"I am a student, majoring in computer science."
student,"I am a student at this university, studying electrical engineering."
student,"I am a student, enrolled in the mechanical engineering"
student,I am currently studying here as an exchange student.
student,I am here on a study abroad program at this university.
student,I am a visiting student from another institution studying here.
student,I am a guest student at this university.
student,I am here to take classes and gain credit at this university.
student,I am a foreign student studying here as an exchange student.
student,I am here to experience a different educational system at this university.
student,I am here to immerse myself in a new culture at this university.
student,I am here to improve my language skills at this university.
student,I am here to expand my academic horizons at this university.
student,I am here to make international connections at this university.
student,I am here to gain a different perspective on my field of study at this university.
student,I am here to take advantage of the unique opportunities offered at this university.
student,I am here to gain a global perspective on my education at this university.
student,I am here to learn from the distinguished faculty at this university.
student,I am here to gain a diverse range of experiences at this university.
student,I am here to make the most of my time abroad at this university.
student,I am here to gain a unique educational experience at this university.
student,I am here to broaden my intellectual horizons at this university.
student,I am here to gain a deeper understanding of my field of study at this university.
student,I am currently studying here as a foreign student.
student,I am an international student at this university.
student,I am a student from another country studying here.
student,I am a non-native student at this university.
student,I am here to take classes and earn a degree at this university.
student,I am a student from abroad studying here.
student,I am here to experience a different culture while studying at this university.
student,I am here to improve my language skills while studying at this university.
student,I am here to expand my academic horizons while studying at this university.
student,I am here to make international connections while studying at this university.
student,I am here to gain a different perspective on my field of study while studying at this university.
student,I am here to take advantage of the unique opportunities offered at this university.
student,I am here to gain a global perspective on my education while studying at this university.
student,I am here to learn from the distinguished faculty at this university.
student,I am here to gain a diverse range of experiences while studying at this university.
student,I am here to make the most of my time abroad while studying at this university.
student,I am here to gain a unique educational experience while studying at this university.
student,I am here to broaden my intellectual horizons while studying at this university.
student,I am here to gain a deeper understanding of my field of study while studying at this university.
student,"I am a student from another country, I have been studying in this university for a while."
staff,yes I am staff at this university
staff,yes I am lecturer from this university
staff,yes I am working at this university
staff,yes I am working at this faculty
staff,staff
staff,yes I work here
staff,i am a staff
staff,i am an officer at this faculty
staff,yes I am a lecturer from this faculty
staff,i am a UM staff
staff,yes I am a staff from this faculty
staff,I am a staff from this univesity
